date,time_detected,user_sid,user,origin_ipv4,origin_ipv6,description,server_dn,computer,os_version,domain,event,action,subsystem,result,indicator_ids
2017-11-16T19:10:54Z,19:39:28,53df9627e3d0fb6d2f9d3d0f049a7ca8a286deaf,cvlasyev0,184.229.189.83,7761:5a79:f040:e1a9:ecb0:ce6f:d59b:afe1,,,Cookley,Windows Server 2012,Tin,Nested member added to critical enterprise group,,,, 
2017-09-19T12:54:40Z,04:17:59,cdf2b18190ca99b7494ac203c244ab38c45595a7,cskerme1,213.34.99.14,e72e:4113:9f35:ab5:9725:772b:ac8e:37c8,,,Cookley,Windows Server 2012,Keylex,User account unlocked,,,, 
2016-09-19T07:01:27Z,13:18:36,e493d08beb522ed6956a7b65ceafb85726eca96a,fdjakovic2,174.54.178.204,3130:fcb5:ec4d:6ad3:3834:6cf8:8b7b:161c,,,Fixflex,Windows 7,Kanlam,Level of Control changed for user object,,,, 
2017-11-04T14:54:30Z,23:01:54,702541e417a914793aa79d49ea1b79a20234c04d,ccocker3,33.89.200.98,e5c9:b3ed:f1cc:a6c1:bef2:6277:a028:4923,,,Stim,Windows 7,Aerified,Schema attribute defaultHidingValue changed,,,, 
2016-09-25T09:40:41Z,12:36:01,bf1c9ccb17a292c117e2c98567a1f168cb49d4a2,edunabie4,183.51.210.150,b25d:7d7a:46fb:7d9f:d643:ec62:ddb2:b73c,,,Temp,Windows 8,Ronstring,Computer added,,,, 
2016-13-11T17:09:36Z,21:05:13,bcee1f2ad5ed0695cae9208a709b8314ca55db2c,alabb5,119.18.20.26,b1cc:105b:d328:7fe8:801f:d6b8:50b8:3071,,,Span,Windows 10,Bigtax,Member removed from group,,,, 
2017-08-26T15:29:39Z,00:58:43,ece59be69311884ee0965a3a4146999872e34c81,egoldwater6,149.213.70.170,7f29:f7dc:7ea5:78f9:6c5a:177f:b3d7:c7b1,,,Gembucket,Windows 7,Sonsing,Nested member added to critical enterprise group,,,, 
2017-08-01T13:13:51Z,02:31:29,bf803b00d79041cc80fac596db98cd89e9e8db2a,sperulli7,103.57.83.119,61f3:d5a7:fc86:dca1:fbd5:dbe9:dd8:c3b4,,,Cardify,Windows 8,Aerified,Nested member removed from group,,,, 
2017-07-11T20:09:40Z,12:51:21,05ac5ea51166d7bb2538c81b2e6b1697aa29ed10,ngrodden8,21.141.221.186,a590:a8fd:2ae3:c8c9:8a05:a4f4:ff30:b3d8,,,Aerified,Windows 10,Sonair,Domain controller renamed,,,, 
2017-07-02T13:46:19Z,09:21:49,e38234c987646056f844aef9ead48afb135545a8,pgallant9,176.56.147.87,8563:7561:8c36:70a4:8227:a323:1750:d90c,,,Aerified,Windows Server 2012,Cardify,Computer account disabled,,,, 
2017-05-01T19:56:23Z,10:03:08,c280982d57d8e91b09ea8ef00da67f6010f4cfa2,lfaveryeara,44.137.62.124,4543:c792:b3d2:5175:5ff7:12c2:f0b3:43b6,,,Job,Windows 8,Konklux,DACL changed on user object,,,, 
2017-08-25T19:24:31Z,15:00:40,01e72aaae5c7897ee3f172b19de88220db4cc204,rsneathb,172.200.246.218,843d:b278:1763:8228:88df:f9ec:3cad:95d6,,,Y-Solowarm,Windows 8,Duobam,Computer moved,,,, 
