date,time_detected,user_sid,user,origin_ipv4,origin_ipv6,description,server_dn,computer,os_version,domain,event,action,subsystem,result,indicator_ids,Old value,new value
2017-10-28T06:46:52Z,07:45:13,894a48735b19f4ef249546c2a377e6a79ff0c004,nheaseman6h,41.199.61.227,9369:a072:62a7:a10f:28ae:5c49:6b30:31dd,,,Otcom,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2017-10-02T14:06:08Z,22:02:41,c0c460b12a1d37f9610f0bf31e56631b74bec51a,jclissell1,101.177.178.217,16d3:384c:4a66:1244:6743:6afc:9fc9:b491,,,Fix San,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2016-10-04T00:08:41Z,06:12:13,2ba256fc35a3d80d92ff076a9da852c5940299fa,2ba256fc35a3d80d92ff076a9da852c5940299fa,114.11.6.173,e422:c86a:3557:d2d5:adb2:8550:3241:54a3,,,Y-Solowarm,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2016-02-15T05:46:05Z,15:33:35,743617873897cb459e9db32959416de0a0c34bab,ntille3,112.95.99.132,536e:6302:c977:be70:a810:f408:ad0:e1a6,,,Andalax,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-11-10T17:49:37Z,16:59:17,7f52b6f88aa2e6a9e61efeb3a3c5759eab7c1f06,dlinsay4,102.211.71.178,9fa6:f457:ce7a:c9e1:bf65:dbae:ad26:996,,,Flexidy,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,11,13
2016-13-18T00:49:15Z,14:05:41,a6e55d17214abce0248410c8143cc5ff121ede6b,ekrinks5,130.138.210.78,4d09:b508:74a9:d744:ceb7:fccb:56b1:1851,,,Namfix,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,13,15
2016-14-13T05:58:00Z,11:29:47,9aa639d413abdf2eed3178bac86cc3bc46278385,bsooper6,221.110.213.14,efdc:6406:d1e3:7430:b6b9:270f:82b0:7814,,,Y-Solowarm,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-05-21T10:12:37Z,15:20:55,e8d01d9b30ce3803ba70ecf90898f0aba974af39,emeriel7,142.73.71.140,3bbc:5a22:1eeb:3ade:27c2:4726:d1e6:744e,,,Voltsillam,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2016-10-05T09:04:12Z,12:22:07,b6b0104dfa38ae6d0a1a0c2f27ff586fa2f637b7,atrenaman8,187.123.3.247,e230:eb81:eef6:891b:b7fd:c3d9:5ef7:adc1,,,Zathin,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2016-14-19T22:37:34Z,22:40:48,1a31a7b2d20af7c6ab29f15aa2fc151ceebc0fbb,radelberg9,179.190.250.188,fe37:c209:e925:f04c:4962:88fc:9994:9986,,,Trippledex,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2016-02-21T06:47:10Z,17:31:46,bb2ad958195b7c3a8385bac6323d3ecb6bbd2d58,abluetta,245.99.180.196,872a:59b2:3bb7:1c3d:bbbe:fc9a:b9:531,,,Wrapsafe,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2017-08-12T02:17:20Z,21:33:26,ec7645ab072f7d01877b23ad1e848b4bd432d68f,rpateyb,155.147.244.30,8088:6908:21f2:2d82:aa53:ae75:b9b7:d5fd,,,Cookley,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2017-11-17T11:55:44Z,21:52:19,d25f68af53c07ac829516a6fb42e43a767241076,pstoopc,178.21.131.225,7d8f:1bc7:b719:b4f6:88c8:2b6:2bc9:c80a,,,Aerified,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-05-04T18:03:08Z,18:33:55,87561513f80f723cbf9f0002d195fd874a1b9c7b,cskillingsd,255.221.83.155,75c4:56f:11f1:aa07:4aa:e61d:237a:d397,,,Treeflex,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2016-10-04T05:38:59Z,02:08:29,13007a1718413432d5b63cf957f7949fda8a9857,gscrowtone,30.74.77.219,29f:9f9a:7f24:f17a:1fcd:2f0:2afc:2feb,,,Fixflex,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2017-08-19T10:42:20Z,17:57:24,b0bd5b05cc52fd27306c3c9c1f9cd10f1c2f9061,eraggattf,239.213.31.96,7ccc:6746:e94d:2f24:ea73:306f:bffc:92b5,,,Flowdesk,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2016-14-17T16:11:45Z,14:32:39,7de20bdfb10780a2e7cacbef26c194ff4d614126,ajosipovitzg,237.250.116.23,e9e8:e9c8:2d2a:f6ab:1da7:27d8:5f8a:59f8,,,Daltfresh,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2016-02-13T08:57:22Z,04:11:38,4b301cea814531de674622a76c96ebb16db996ad,rhickinbottomh,53.143.149.203,1b17:349c:9e80:5050:2c9:ffcb:c5f9:77a8,,,Overhold,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-10-30T08:07:49Z,10:11:50,4c8c67a945f1bc430cc45f0e759f0ae203520031,ogreddeni,207.61.185.61,5658:939:9f1e:e9b:eb80:1c5d:6a2b:9b5f,,,Treeflex,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2017-09-09T23:34:32Z,19:07:39,1f43a32c3e2dbea3626590ff49d746eea68ccfe7,bclulowj,50.188.12.102,4be0:917e:158d:9d61:6303:5766:b8e6:d496,,,Voyatouch,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2016-14-10T10:25:13Z,03:54:41,e6278f2e36236989db13aa40df7a8ddb416f7add,mwhyliek,149.147.94.219,1c7:44d9:f3f6:24f9:3f49:5552:93e7:a4ae,,,Cookley,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-06-09T04:49:00Z,04:29:07,52b2f6c9eaeacdd99cc46d128157ae00d4e0f1cb,fmizzil,9.34.234.28,6880:2a14:a340:a5b6:330e:31aa:5cf0:7d23,,,Stronghold,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,4,6
2017-05-08T01:40:36Z,14:24:18,7a7ec25fe86113707a5bf530db500bfca36c5345,wmccluneym,60.21.139.173,a454:44e8:6584:92ea:b1e9:8209:9a94:6d98,,,Redhold,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2016-11-23T20:20:42Z,14:40:43,a8126b3b0f1057e4bfbd9194623a4802781b8006,brobicn,178.213.247.131,359e:35c0:48e8:7299:b2df:f8a:7cc1:8d0a,,,Overhold,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,11,13
2017-09-14T08:52:25Z,00:16:15,e8d4c38e40c8a0ec19aff823b5262287d4f108b8,rgolagleyo,96.148.136.85,519:9c55:99a8:f045:cec9:653d:4209:fe3,,,Fintone,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2017-05-23T16:03:06Z,14:41:37,18a274d677bbabd29829c35ac99316a5747e8720,sbadbyp,91.64.144.221,a602:431c:3919:5d99:ff73:6eba:7980:8d84,,,Duobam,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2017-10-14T11:12:18Z,21:04:02,f347e87fe1cd2c639b818038a97ba14ccef849ba,creglerq,236.255.237.199,e713:629f:8717:1660:3d9f:2fef:37a1:ccd7,,,Pannier,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2017-09-03T17:44:43Z,17:32:57,bf92622ba5da771e9b9746143bf18f262f3d3e0e,gdestoucher,230.10.20.229,e327:6cd4:4fb7:7fc4:82db:b150:99a7:c181,,,Sonsing,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2016-13-29T11:26:56Z,17:21:19,77942093f8924f53a93e27002c65a545e34678f4,lknevetts,43.57.180.186,c02:20ec:5324:5257:8789:3df0:133b:e724,,,Matsoft,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,13,15
2017-11-10T03:45:15Z,23:32:56,943a9ca407be642c8abd721a8ab095f67697d4e0,kprettymant,126.16.2.186,1a85:2ef6:81e5:44c5:31fb:6560:443c:742c,,,Temp,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-05-02T11:16:12Z,13:52:29,f726d1b6bd1d841e20c45a9911aeb2fc3373311c,abrowseu,96.186.67.194,93ab:e9e2:6f2b:2528:f401:1431:1fa3:5d3f,,,Bitwolf,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2017-08-13T12:03:59Z,08:55:30,25486ae29bdb524fbebaa7dc8f7fc35a48511435,jakersv,99.129.219.242,2d73:cd0c:fc0d:e948:38ca:8f7a:f081:e5a3,,,Hatity,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2017-07-09T00:34:43Z,03:34:18,bf81da2d17de4e4e625a5cefa8d5098dcdbc3b2c,rblaisew,130.86.145.232,509b:1afa:3988:754c:af14:21c5:b484:1195,,,Pannier,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2016-10-25T17:17:59Z,01:14:01,39d4b735ebb05ef7d8041188fcc59866a433f323,agookex,134.213.144.16,2de7:de52:fc87:6cc1:6609:f87d:5d52:e479,,,Sonair,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2016-10-17T02:41:43Z,17:09:01,26a7dd3b11cf49b2809792cf57373ceafa916f25,jrubinoviciy,129.7.64.190,3150:b6e0:6509:23d9:6249:15a8:3d78:2b03,,,Lotstring,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2016-14-23T21:52:00Z,07:44:27,630359278fd0024abac1fd2dd6247baccd10a45e,oroselliniz,69.243.204.112,ff74:6152:7c2e:4f23:b380:7034:f93f:4ea3,,,Gembucket,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2016-09-26T03:55:14Z,06:21:34,3cf349690b38269be8dd8ba6a8d11c4716dada2e,gbartlam10,200.198.215.179,840c:7a05:d51e:b7de:6ce9:5b43:3879:950a,,,Opela,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-11-16T10:14:01Z,09:02:33,0854fc4e5c591892be04998db6c6dfbe6f5325b3,onunns11,62.241.150.52,f61f:65b4:2b5f:ff9f:e57f:abf9:ed2:2aba,,,Hatity,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2016-02-27T21:52:01Z,20:06:36,b67c408b6fccc3f42b65522bdd7f66a6b12e65e7,jboxhill12,73.253.50.74,585e:e3f9:4384:2907:c42b:f474:f1e5:143a,,,Daltfresh,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-10-04T09:26:39Z,06:44:28,abcb359d6b40eb9287b075da2bc78a706d806d75,prate13,71.35.69.233,1288:32c1:573e:797:908:848d:d4e7:e1fc,,,Zaam-Dox,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2017-07-16T03:01:09Z,03:48:59,960cddf0f6221eebca4fe9e0f58c5ea8753ae377,calekhov14,167.231.225.169,e2f0:7693:420c:ffaf:3122:59b4:875a:b1a2,,,Vagram,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2016-10-26T12:20:48Z,01:56:33,c15c8f847da0a90668b6b426e86630613c1d54bf,lessel15,91.139.169.203,2779:8963:85f5:8e78:e4ec:e747:e036:50d4,,,Alpha,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2016-02-27T10:19:48Z,20:05:52,1c8f69b3d279abf8fa2b0ab89fe3224809c3f12e,dybarra16,119.102.228.151,8ab0:faf6:a29e:56e6:ab41:340a:5d61:dcf9,,,Tampflex,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,12,14
