user name,alert name,indicator name,indicator type,score,value,hourly / daily,start time,chartType,description,historgram last 30 days,pie last 30 days,time,dataSource,id
asuggeyc,"Brute Force (Hourly, Critical)",Multiple Failed Authentications,AnomalyAggregatedEvent,70,9,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user has failed multiple authentication attempts,"1,3,0,3,1,0,0,2,2,3,2,0,1,3,0,2,0,0,1,0,2,3,3,1,2,1,1,1,2,1",,,authentication,1
asuggeyc,"Brute Force (Hourly, Critical)",Logged onto Multiple Domains,AnomalyAggregatedEvent,70,4,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user has attempted to log on to hosts from multiple domains,"1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1",,,authentication,2
asuggeyc,"Brute Force (Hourly, Critical)",Abnormal Computer Accessed Remotely,AnomalySingleEvent,70,DC-05,Hourly,Oct 28 2017 06:00:00 GMT+0000,Pie Chart,A user has attempted to access remotely an abnormal computer,,"495=""asugg-ws"",4=""prod-06"", 1=DC-05",,active_directory,3
asuggeyc,"Elevated privileges granted (Hourly, Critical)",Abnormal Computer Accessed Remotely,AnomalySingleEvent,70,DC-02,Hourly,Oct 28 2017 08:00:00 GMT+0000,Single bar graph,A user has attempted to access remotely an abnormal computer,,"495=""asugg-ws"",4=""prod-06"",1=""DC-05"",1=""DC-02""","baseline: 1,2,3,4|anomaly:5",active_directory,4
asuggeyc,"Elevated privileges granted (Hourly, Critical)",Abnormal Logon Time,AnomalySingleEvent,70,1.50E+12,Hourly,Oct 28 2017 06:00:00 GMT+0000,Time,A user executed Active Directory activity at an abnormal time,,,normal hours should be 11am-2pm,authentication,5
asuggeyc,"Elevated privileges granted (Hourly, Critical)",Account Management Change Anomaly,AnomalySingleEvent,70,User object added,Hourly,Oct 28 2017 08:00:00 GMT+0000,Single bar graph,A user had an abnormal account management issue,,"100=Computer added,35=User WorkstationAdded 2,1=User object added",,active_directory,6
asuggeyc,"Elevated privileges granted (Hourly, Critical)",Account Management Change Anomaly,AnomalySingleEvent,70,User Password Never Expires option changed,Hourly,Oct 28 2017 08:00:00 GMT+0000,Single bar graph,A user had an abnormal account management issue,,"100=Computer added,35=User Workstation added,1=User Password Never Expires option changed",,active_directory,7
asuggeyc,"Elevated privileges granted (Hourly, Critical)",Multiple Account Management Changes,AnomalyAggregatedEvent,70,7,Hourly,Oct 28 2017 08:00:00 GMT+0000,Histogram,A user has successfully executed multiple Active Directory changes,"1,2,3,2,3,1,2,3,3,2,1,1,1,1,1,2,2,2,2,2,4,3,2,1,1,1","last 30 days: 1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1",,active_directory,8
asuggeyc,"Elevated privileges granted (Hourly, Critical)",Multiple Privileged Group Membership Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 08:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","last 30 days: 0,…,0",,active_directory,9
swestollrr,,Abnormal File Access Permission Change,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,10
esteaning0,,Logged into Multiple Domains,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,11
sfoucar1,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,12
bmcfarlane2,,Abnormal Active Directory Change,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,13
cplaide3,,User password changed by non-owner,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,14
igheorghescu4,,User account enabled,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,15
spioch5,,Multiple Failed File Access Permission Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,16
ygallifont6,,Multiple Successful Authentications,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,17
bdael7,,Multiple Account Management Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,18
pjoerning8,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,19
ericoald9,,Multiple User Account Management Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,20
ldsouzaa,,Abnormal Remote Computer,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,21
cpetzoldb,,Excessive Amount of Files Moved to File System,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,22
